BL,N,WS,RM_count,RL_count,RLH_count,RLM_count,RLMD_count,WM_count,WL_count,WLH_count,WLM_count,WLMD_count,WT_count,WTM_count,FCD_count,FC_count 
1,1,WB,13981566,13981566,13932260,49306,8155,5592576,5592576,5559799,32777,8127,0,0,16498,32768
1,1,WTNA,13981566,13981566,13915746,65820,0,5592576,5592576,5559412,33164,0,5592576,5592576,0,32768
1,1,WTA,13981566,13981566,13932260,49306,0,5592576,5592576,5559799,32777,0,5592576,5592576,0,32768
1,2,WB,13981566,13981566,13918961,62605,10526,5592576,5592576,5559669,32907,18291,0,0,4157,32768
1,2,WTNA,13981566,13981566,13914744,66822,0,5592576,5592576,5540308,52268,0,5592576,5592576,0,32768
1,2,WTA,13981566,13981566,13918961,62605,0,5592576,5592576,5559669,32907,0,5592576,5592576,0,32768
1,4,WB,13981566,13981566,13914065,67501,7440,5592576,5592576,5559409,33167,24862,0,0,1058,32768
1,4,WTNA,13981566,13981566,13912924,68642,0,5592576,5592576,5502100,90476,0,5592576,5592576,0,32768
1,4,WTA,13981566,13981566,13914065,67501,0,5592576,5592576,5559409,33167,0,5592576,5592576,0,32768
1,8,WB,13981566,13981566,13909203,72363,5343,5592576,5592576,5558853,33723,28442,0,0,274,32768
1,8,WTNA,13981566,13981566,13909101,72465,0,5592576,5592576,5459290,133286,0,5592576,5592576,0,32768
1,8,WTA,13981566,13981566,13909203,72363,0,5592576,5592576,5558853,33723,0,5592576,5592576,0,32768
1,16,WB,13981566,13981566,13900866,80700,5007,5592576,5592576,5557741,34835,30376,0,0,74,32768
1,16,WTNA,13981566,13981566,13901496,80070,0,5592576,5592576,5373670,218906,0,5592576,5592576,0,32768
1,16,WTA,13981566,13981566,13900866,80700,0,5592576,5592576,5557741,34835,0,5592576,5592576,0,32768
2,1,WB,13981566,13981566,13956388,25178,4432,5592576,5592576,5567924,24652,11971,0,0,8252,16384
2,1,WTNA,13981566,13981566,13947862,33704,0,5592576,5592576,5559533,33043,0,5592576,5592576,0,16384
2,1,WTA,13981566,13981566,13956388,25178,0,5592576,5592576,5567924,24652,0,5592576,5592576,0,16384
2,2,WB,13981566,13981566,13949224,32342,5861,5592576,5592576,5561554,31022,23090,0,0,2080,16384
2,2,WTNA,13981566,13981566,13946720,34846,0,5592576,5592576,5559147,33429,0,5592576,5592576,0,16384
2,2,WTA,13981566,13981566,13949224,32342,0,5592576,5592576,5561554,31022,0,5592576,5592576,0,16384
2,4,WB,13981566,13981566,13945843,35723,4872,5592576,5592576,5559525,33051,27665,0,0,531,16384
2,4,WTNA,13981566,13981566,13944618,36948,0,5592576,5592576,5558375,34201,0,5592576,5592576,0,16384
2,4,WTA,13981566,13981566,13945843,35723,0,5592576,5592576,5559525,33051,0,5592576,5592576,0,16384
2,8,WB,13981566,13981566,13941366,40200,5087,5592576,5592576,5558052,34524,29331,0,0,138,16384
2,8,WTNA,13981566,13981566,13939944,41622,0,5592576,5592576,5556464,36112,0,5592576,5592576,0,16384
2,8,WTA,13981566,13981566,13941366,40200,0,5592576,5592576,5558052,34524,0,5592576,5592576,0,16384
2,16,WB,13981566,13981566,13933125,48441,7455,5592576,5592576,5555767,36809,29379,0,0,38,16384
2,16,WTNA,13981566,13981566,13930636,50930,0,5592576,5592576,5552643,39933,0,5592576,5592576,0,16384
2,16,WTA,13981566,13981566,13933125,48441,0,5592576,5592576,5555767,36809,0,5592576,5592576,0,16384
4,1,WB,13981566,13981566,13968829,12737,2706,5592576,5592576,5571726,20850,13955,0,0,4190,8192
4,1,WTNA,13981566,13981566,13964169,17397,0,5592576,5592576,5559070,33506,0,5592576,5592576,0,8192
4,1,WTA,13981566,13981566,13968829,12737,0,5592576,5592576,5571726,20850,0,5592576,5592576,0,8192
4,2,WB,13981566,13981566,13964879,16687,3982,5592576,5592576,5562076,30500,25453,0,0,1072,8192
4,2,WTNA,13981566,13981566,13963013,18553,0,5592576,5592576,5558298,34278,0,5592576,5592576,0,8192
4,2,WTA,13981566,13981566,13964879,16687,0,5592576,5592576,5562076,30500,0,5592576,5592576,0,8192
4,4,WB,13981566,13981566,13962591,18975,4536,5592576,5592576,5558802,33774,28975,0,0,282,8192
4,4,WTNA,13981566,13981566,13960879,20687,0,5592576,5592576,5556754,35822,0,5592576,5592576,0,8192
4,4,WTA,13981566,13981566,13962591,18975,0,5592576,5592576,5558802,33774,0,5592576,5592576,0,8192
4,8,WB,13981566,13981566,13959064,22502,6817,5592576,5592576,5556065,36511,29655,0,0,78,8192
4,8,WTNA,13981566,13981566,13956149,25417,0,5592576,5592576,5552933,39643,0,5592576,5592576,0,8192
4,8,WTA,13981566,13981566,13959064,22502,0,5592576,5592576,5556065,36511,0,5592576,5592576,0,8192
4,16,WB,13981566,13981566,13952395,29171,12330,5592576,5592576,5551570,41006,28731,0,0,24,8192
4,16,WTNA,13981566,13981566,13946725,34841,0,5592576,5592576,5545292,47284,0,5592576,5592576,0,8192
4,16,WTA,13981566,13981566,13952395,29171,0,5592576,5592576,5551570,41006,0,5592576,5592576,0,8192
8,1,WB,13981566,13981566,13974373,7193,2240,5592576,5592576,5573230,19346,14947,0,0,2160,4096
8,1,WTNA,13981566,13981566,13971249,10317,0,5592576,5592576,5558046,34530,0,5592576,5592576,0,4096
8,1,WTA,13981566,13981566,13974373,7193,0,5592576,5592576,5573230,19346,0,5592576,5592576,0,4096
8,2,WB,13981566,13981566,13971371,10195,3828,5592576,5592576,5561552,31024,26639,0,0,568,4096
8,2,WTNA,13981566,13981566,13969053,12513,0,5592576,5592576,5556502,36074,0,5592576,5592576,0,4096
8,2,WTA,13981566,13981566,13971371,10195,0,5592576,5592576,5561552,31024,0,5592576,5592576,0,4096
8,4,WB,13981566,13981566,13968142,13424,5926,5592576,5592576,5556898,35678,29625,0,0,158,4096
8,4,WTNA,13981566,13981566,13964661,16905,0,5592576,5592576,5553414,39162,0,5592576,5592576,0,4096
8,4,WTA,13981566,13981566,13968142,13424,0,5592576,5592576,5556898,35678,0,5592576,5592576,0,4096
8,8,WB,13981566,13981566,13962285,19281,10894,5592576,5592576,5551891,40685,29806,0,0,48,4096
8,8,WTNA,13981566,13981566,13955475,26091,0,5592576,5592576,5545773,46803,0,5592576,5592576,0,4096
8,8,WTA,13981566,13981566,13962285,19281,0,5592576,5592576,5551891,40685,0,5592576,5592576,0,4096
8,16,WB,13981566,13981566,13950954,30612,21118,5592576,5592576,5543174,49402,28397,0,0,17,4096
8,16,WTNA,13981566,13981566,13937479,44087,0,5592576,5592576,5531128,61448,0,5592576,5592576,0,4096
8,16,WTA,13981566,13981566,13950954,30612,0,5592576,5592576,5543174,49402,0,5592576,5592576,0,4096
