BL,N,WS,RM_count,RL_count,RLH_count,RLM_count,RLMD_count,WM_count,WL_count,WLH_count,WLM_count,WLMD_count,WT_count,WTM_count,FCD_count,FC_count 
1,1,WB,14178428,14178428,14095999,82429,8581,5724158,5724158,5691126,33032,8255,0,0,16243,32768
1,1,WTNA,14178428,14178428,14079231,99197,0,5724158,5724158,5690739,33419,0,5724158,5724158,0,32768
1,1,WTA,14178428,14178428,14095999,82429,0,5724158,5724158,5691126,33032,0,5724158,5724158,0,32768
1,2,WB,14178428,14178428,14057905,120523,10976,5724158,5724158,5690991,33167,18353,0,0,4040,32768
1,2,WTNA,14178428,14178428,14053429,124999,0,5724158,5724158,5644459,79699,0,5724158,5724158,0,32768
1,2,WTA,14178428,14178428,14057905,120523,0,5724158,5724158,5690991,33167,0,5724158,5724158,0,32768
1,4,WB,14178428,14178428,14046364,132064,7901,5724158,5724158,5690723,33435,24893,0,0,1035,32768
1,4,WTNA,14178428,14178428,14044961,133467,0,5724158,5724158,5606855,117303,0,5724158,5724158,0,32768
1,4,WTA,14178428,14178428,14046364,132064,0,5724158,5724158,5690723,33435,0,5724158,5724158,0,32768
1,8,WB,14178428,14178428,14039382,139046,5818,5724158,5724158,5690155,34003,28457,0,0,300,32768
1,8,WTNA,14178428,14178428,14039012,139416,0,5724158,5724158,5564663,159495,0,5724158,5724158,0,32768
1,8,WTA,14178428,14178428,14039382,139046,0,5724158,5724158,5690155,34003,0,5724158,5724158,0,32768
1,16,WB,14178428,14178428,14029753,148675,5556,5724158,5724158,5689067,35091,30384,0,0,132,32768
1,16,WTNA,14178428,14178428,14029850,148578,0,5724158,5724158,5449815,274343,0,5724158,5724158,0,32768
1,16,WTA,14178428,14178428,14029753,148675,0,5724158,5724158,5689067,35091,0,5724158,5724158,0,32768
2,1,WB,14178428,14178428,14128364,50064,4649,5724158,5724158,5699378,24780,12035,0,0,8121,16384
2,1,WTNA,14178428,14178428,14119710,58718,0,5724158,5724158,5690987,33171,0,5724158,5724158,0,16384
2,1,WTA,14178428,14178428,14128364,50064,0,5724158,5724158,5699378,24780,0,5724158,5724158,0,16384
2,2,WB,14178428,14178428,14102672,75756,6094,5724158,5724158,5693000,31158,23122,0,0,2019,16384
2,2,WTNA,14178428,14178428,14100034,78394,0,5724158,5724158,5690200,33958,0,5724158,5724158,0,16384
2,2,WTA,14178428,14178428,14102672,75756,0,5724158,5724158,5693000,31158,0,5724158,5724158,0,16384
2,4,WB,14178428,14178428,14094353,84075,5123,5724158,5724158,5690955,33203,27679,0,0,518,16384
2,4,WTNA,14178428,14178428,14092992,85436,0,5724158,5724158,5688990,35168,0,5724158,5724158,0,16384
2,4,WTA,14178428,14178428,14094353,84075,0,5724158,5724158,5690955,33203,0,5724158,5724158,0,16384
2,8,WB,14178428,14178428,14088410,90018,5361,5724158,5724158,5689458,34700,29337,0,0,150,16384
2,8,WTNA,14178428,14178428,14086846,91582,0,5724158,5724158,5686614,37544,0,5724158,5724158,0,16384
2,8,WTA,14178428,14178428,14088410,90018,0,5724158,5724158,5689458,34700,0,5724158,5724158,0,16384
2,16,WB,14178428,14178428,14079474,98954,7662,5724158,5724158,5687223,36935,29393,0,0,66,16384
2,16,WTNA,14178428,14178428,14076925,101503,0,5724158,5724158,5682099,42059,0,5724158,5724158,0,16384
2,16,WTA,14178428,14178428,14079474,98954,0,5724158,5724158,5687223,36935,0,5724158,5724158,0,16384
4,1,WB,14178428,14178428,14145054,33374,2878,5724158,5724158,5703244,20914,13987,0,0,4061,8192
4,1,WTNA,14178428,14178428,14140330,38098,0,5724158,5724158,5690588,33570,0,5724158,5724158,0,8192
4,1,WTA,14178428,14178428,14145054,33374,0,5724158,5724158,5703244,20914,0,5724158,5724158,0,8192
4,2,WB,14178428,14178428,14125708,52720,4135,5724158,5724158,5693586,30572,25469,0,0,1009,8192
4,2,WTNA,14178428,14178428,14123770,54658,0,5724158,5724158,5689320,34838,0,5724158,5724158,0,8192
4,2,WTA,14178428,14178428,14125708,52720,0,5724158,5724158,5693586,30572,0,5724158,5724158,0,8192
4,4,WB,14178428,14178428,14119340,59088,4690,5724158,5724158,5690296,33862,28982,0,0,259,8192
4,4,WTNA,14178428,14178428,14117547,60881,0,5724158,5724158,5687504,36654,0,5724158,5724158,0,8192
4,4,WTA,14178428,14178428,14119340,59088,0,5724158,5724158,5690296,33862,0,5724158,5724158,0,8192
4,8,WB,14178428,14178428,14114680,63748,6984,5724158,5724158,5687535,36623,29661,0,0,75,8192
4,8,WTNA,14178428,14178428,14111666,66762,0,5724158,5724158,5683659,40499,0,5724158,5724158,0,8192
4,8,WTA,14178428,14178428,14114680,63748,0,5724158,5724158,5687535,36623,0,5724158,5724158,0,8192
4,16,WB,14178428,14178428,14107587,70841,12371,5724158,5724158,5683145,41013,28753,0,0,33,8192
4,16,WTNA,14178428,14178428,14101935,76493,0,5724158,5724158,5676540,47618,0,5724158,5724158,0,8192
4,16,WTA,14178428,14178428,14107587,70841,0,5724158,5724158,5683145,41013,0,5724158,5724158,0,8192
8,1,WB,14178428,14178428,14152724,25704,2391,5724158,5724158,5704779,19379,14963,0,0,2031,4096
8,1,WTNA,14178428,14178428,14149567,28861,0,5724158,5724158,5689595,34563,0,5724158,5724158,0,4096
8,1,WTA,14178428,14178428,14152724,25704,0,5724158,5724158,5704779,19379,0,5724158,5724158,0,4096
8,2,WB,14178428,14178428,14135870,42558,3951,5724158,5724158,5693084,31074,26647,0,0,504,4096
8,2,WTNA,14178428,14178428,14133502,44926,0,5724158,5724158,5687058,37100,0,5724158,5724158,0,4096
8,2,WTA,14178428,14178428,14135870,42558,0,5724158,5724158,5693084,31074,0,5724158,5724158,0,4096
8,4,WB,14178428,14178428,14129157,49271,6059,5724158,5724158,5688395,35763,29630,0,0,130,4096
8,4,WTNA,14178428,14178428,14125607,52821,0,5724158,5724158,5683423,40735,0,5724158,5724158,0,4096
8,4,WTA,14178428,14178428,14129157,49271,0,5724158,5724158,5688395,35763,0,5724158,5724158,0,4096
8,8,WB,14178428,14178428,14122300,56128,11068,5724158,5724158,5683335,40823,29809,0,0,38,4096
8,8,WTNA,14178428,14178428,14115392,63036,0,5724158,5724158,5675729,48429,0,5724158,5724158,0,4096
8,8,WTA,14178428,14178428,14122300,56128,0,5724158,5724158,5683335,40823,0,5724158,5724158,0,4096
8,16,WB,14178428,14178428,14110473,67955,21398,5724158,5724158,5674505,49653,28399,0,0,17,4096
8,16,WTNA,14178428,14178428,14096838,81590,0,5724158,5724158,5660923,63235,0,5724158,5724158,0,4096
8,16,WTA,14178428,14178428,14110473,67955,0,5724158,5724158,5674505,49653,0,5724158,5724158,0,4096
