,,Time Calculation,,,Formulae,,,,,,,,,,,,,,,,Minimum = ,,,,Minimum = ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.008168346,,,,0.027362658,,,,,,,
BL,N,WS,RM_count,RL_count,RLH_count,RLM_count,RLMD_count,WM_count,WL_count,WLH_count,WLM_count,WLMD_count,WT_count,WTM_count,FCD_count,FC_count ,Total Read Time,Write Time for WB ,Write Time for WTNA,Write time for WTA ,"Write Time for (WB,WTNA,WTA)",Total Time for WB,Total Time for WTNA ,Total Time for WTA,"Total Time for (WB,WTNA,WTA)",Write line HIT ratio,Read line HIT ratio ,Total HIT Ratio ,Total MISS Ratio ,Total Memory access time ,,Formulae
1,1,WB,14178428,14178428,14095999,82429,8581,5724158,5724158,5691126,33032,8255,0,0,16243,32768,0.019556599,0.008168346,,,0.008168346,0.028699525,,,0.028699525,0.99422937,0.994186309,1.988415679,0.011584321,1.19E-07,1,Total Read Time = (RLH_count * 1nsec) + (RLM_count*(60nsec+(BL-1)*17nsec)) + (RLMD_count*(60nsec+(BL-1)*17nsec))  
1,1,WTNA,14178428,14178428,14079231,99197,0,5724158,5724158,5690739,33419,0,5724158,5724158,0,32768,0.020031051,,0.349140219,,0.349140219,,0.36917127,,0.36917127,0.994161761,0.993003667,1.987165429,0.012834571,1.19E-07,2,Write Time for WB = (WLH_count*1nsec) + (WLM_count * (60nsec+(BL-1)*17nsec)) + (WLMD_count * (60nsec+(BL-1)*17nsec))  
1,1,WTA,14178428,14178428,14095999,82429,0,5724158,5724158,5691126,33032,0,5724158,5724158,0,32768,0.019041739,,,0.351122526,0.351122526,,,0.370164265,0.370164265,0.99422937,0.994186309,1.988415679,0.011584321,1.19E-07,3,Write Time for WTNA = (WT_count*60nsec) + (WLH_count*1nsec) 
1,2,WB,14178428,14178428,14057905,120523,10976,5724158,5724158,5690991,33167,18353,0,0,4040,32768,0.021947845,0.008782191,,,0.008782191,0.030972436,,,0.030972436,0.994205785,0.991499551,1.985705337,0.014294663,1.19E-07,4,Write time for WTA = (WT_count*60nsec) + (WLH_count*1nsec) + (WLM_count*(60nsec+(BL-1)*17nsec))
1,2,WTNA,14178428,14178428,14053429,124999,0,5724158,5724158,5644459,79699,0,5724158,5724158,0,32768,0.021553369,,0.349093939,,0.349093939,,0.370647308,,0.370647308,0.98607673,0.99118386,1.97726059,0.02273941,1.19E-07,5,"Write Time for (WB,WTNA,WTA)"
1,2,WTA,14178428,14178428,14057905,120523,0,5724158,5724158,5690991,33167,0,5724158,5724158,0,32768,0.021289285,,,0.351130491,0.351130491,,,0.372419776,0.372419776,0.994205785,0.991499551,1.985705337,0.014294663,1.19E-07,6,Total Time for WB = Total Read Time + Write Time for WB + (FCD_count*60nsec)
1,4,WB,14178428,14178428,14046364,132064,7901,5724158,5724158,5690723,33435,24893,0,0,1035,32768,0.022444264,0.009190403,,,0.009190403,0.031696767,,,0.031696767,0.994158966,0.990685568,1.984844535,0.015155465,1.19E-07,7,Total Time for WTNA = Total Read Time + Write Time for WTNA + (FCD_count*60nsec)
1,4,WTNA,14178428,14178428,14044961,133467,0,5724158,5724158,5606855,117303,0,5724158,5724158,0,32768,0.022052981,,0.349056335,,0.349056335,,0.371109316,,0.371109316,0.979507379,0.990586615,1.970093994,0.029906006,1.18E-07,8,Total Time for WTA = Total Read Time + Write Time for WTA + (FCD_count*60nsec)
